"","X","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","strasse","leistung_s","indatum_s","menge_kwh","lk_nr","lk_name","vg_nr","vg_name","lk_volllast","Ertrag2019_MWh","ErtragRepowert","Ertragssteigerung","Emissionsminderung"
"41",41,"E30254010000000000005230789401743","ENERCON GmbH","E-70-E4",2000,"24.05.2006",7332009,49.586613,7.727745,98,70,733510029,67700,"Niederkirchen","Gemarkung Niederkirchen-Heimkirchen, Flurst. 3781","2000",2006-04-07,2882992,"7335","Kaiserslautern","733510","Otterbach-Otterberg",2375,2883,8075,280,2026.9568
"42",42,"E30254010000000000005230789408782","ENERCON GmbH","E 70",2300,"08.01.2009",7336086,49.605,7.65509,65,70,733608036,67753,"Hefersweiler","Gemarkung Hefersweiler, Flurst. 1240","2300",2009-01-08,2344728,"7336","Kusel","733608","Lauterecken-Wolfstein",2700,2345,9180,391,2668.384
"43",43,"E30254010000000000005230789408817",NA,NA,NA,NA,NA,NA,NA,NA,NA,733608036,67753,"Hefersweiler","Gemarkung Hefersweiler, Flurst. 1228","2300",2009-01-13,2344728,"7336","Kusel","733608","Lauterecken-Wolfstein",2700,2345,9180,391,2668.384
"44",44,"E30254010000000000005230789408818","ENERCON GmbH","E 70",2300,"13.01.2009",7336085,49.60801,7.65637,65,70,733608085,67753,"Reipoltskirchen","Gemarkung Reipoltskirchen, Flurst. 547/10","2300",2009-01-14,2344719,"7336","Kusel","733608","Lauterecken-Wolfstein",2700,2345,9180,391,2668.384
"45",45,"E30254010000000000005230789408838","ENERCON GmbH","E 70",2300,"14.01.2009",7336036,49.61113,7.66179,65,70,733608086,67753,"Relsberg","Gemarkung Relsberg, Flurst. 780","2300",2009-01-12,2344728,"7336","Kusel","733608","Lauterecken-Wolfstein",2700,2345,9180,391,2668.384
"46",46,"E30254010000000000005230789801746","Fuhrländer AG","FL MD 77",1500,"30.09.2005",7337039,49.168084,8.251131,100,77,733704039,76863,"Herxheimweyher","Herxheimweyher Domsängerei","1500",2005-10-01,2411405,"7337","Südliche Weinstraße","733704","Herxheim",2515,2411,8551,355,2397.056
"47",47,"E30254010000000000005230789801747","Fuhrländer AG","FL MD 77",1500,"10.10.2005",7337039,49.165615,8.25461,100,77,733704039,76863,"Herxheimweyher","Herxheimweyher Domsängerei","1500",2005-10-10,2411405,"7337","Südliche Weinstraße","733704","Herxheim",2515,2411,8551,355,2397.056
"48",48,"E30254010000000000005230789801748","Fuhrländer AG","FL MD 77",1500,"12.10.2005",7334025,49.163768,8.260973,100,77,733704039,76863,"Herxheimweyher","Gemarkung Herxheimweyher, Flurst. 664","1500",2005-12-31,2411405,"7337","Südliche Weinstraße","733704","Herxheim",2515,2411,8551,355,2397.056
"49",49,"E30254010000000000005230789801749","Fuhrländer AG","FL MD 77",1500,"22.10.2005",7337039,49.165163,8.25836,100,77,733704039,76863,"Herxheimweyher","Gemarkung Herxheimweyher, Flurst. 651","1500",2005-12-31,2411405,"7337","Südliche Weinstraße","733704","Herxheim",2515,2411,8551,355,2397.056
"50",50,"E30254010000000000005230789801750","Fuhrländer AG","FL MD 77",1500,"17.02.2006",7334025,49.164089,8.264848,100,77,733704039,76863,"Herxheimweyher","Gemarkung Herxheimweyher, Flurst. 625","1500",2005-12-31,2411405,"7337","Südliche Weinstraße","733704","Herxheim",2515,2411,8551,355,2397.056
"51",51,"E30254010000000000005230789807055","Fuhrländer AG","FL MD 77",1500,"27.09.2005",7337039,49.167872,8.247555,100,77,733704039,76863,"Herxheimweyher","Herxheimweyher Domsängerei","1500",2005-10-01,2411405,"7337","Südliche Weinstraße","733704","Herxheim",2515,2411,8551,355,2397.056
"52",52,"E30254010000000000005230790301752","Fuhrländer AG","FL MD77",1500,"22.12.2005",7316000,49.386136,8.270259,100,77,733200025,67454,"Haßloch","Gemarkung Haßloch Außerhalb, Flurst. 13629","1500",2005-12-23,2143091,"7332","Bad Dürkheim","733200","vfr Bad Dürkheim",2075,2143,7055,329,1917.6448
"53",53,"E30254010000000000005230790306701","Fuhrländer AG","FL MD77",1500,"22.12.2005",7316000,49.381927,8.268697,100,77,733200025,67454,"Haßloch","Gemarkung Haßloch Außerhalb, Flurst. 13676/1","1500",2005-12-16,2143096,"7332","Bad Dürkheim","733200","vfr Bad Dürkheim",2075,2143,7055,329,1917.6448
"54",54,"E30254010000000000005230790601754",NA,NA,NA,NA,NA,NA,NA,NA,NA,734006022,66989,"Höheinöd","Gemarkung Höheinöd, Flurst. 734","2300",2006-02-02,2968590,"7340","Südwestpfalz","734006","Waldfischbach-Burgalben",2475,2969,8415,283,2126.1184
"55",55,"E30254010000000000005230790601755","ENERCON GmbH","E-70 E4",2000,"17.08.2006",7340022,49.303426,7.616378,113.5,71,734006022,66989,"Höheinöd","Gemarkung Höheinöd, Flurst. 726 und 727","2000",2006-08-17,2852936,"7340","Südwestpfalz","734006","Waldfischbach-Burgalben",2475,2853,8415,295,2171.4048
"56",56,"E30254010000000000005230790606676",NA,NA,NA,NA,NA,NA,NA,NA,NA,734006022,66989,"Höheinöd","Gemarkung Höheinöd, Flurst. 729","2300",2006-01-24,2968590,"7340","Südwestpfalz","734006","Waldfischbach-Burgalben",2475,2969,8415,283,2126.1184
"57",57,"E30254010000000000005230790901757",NA,NA,NA,NA,NA,NA,NA,NA,NA,733609010,66916,"Breitenbach","Windkraftanlage","1500",2004-12-17,2508481,"7336","Kusel","733609","Oberes Glantal",2700,2508,9180,366,2604.7488
"58",58,"E30254010000000000005230790901758",NA,NA,NA,NA,NA,NA,NA,NA,NA,733609010,66916,"Breitenbach","Windkraftanlage","1500",2004-12-15,2508484,"7336","Kusel","733609","Oberes Glantal",2700,2508,9180,366,2604.7488
"59",59,"E30254010000000000005230790901759",NA,NA,NA,NA,NA,NA,NA,NA,NA,733609010,66916,"Breitenbach","Windkraftanlage","1500",2004-12-15,2508484,"7336","Kusel","733609","Oberes Glantal",2700,2508,9180,366,2604.7488
"60",60,"E30254010000000000005230790906679",NA,NA,NA,NA,NA,NA,NA,NA,NA,733609010,66916,"Breitenbach","Windkraftanlage","1500",2004-12-15,2508484,"7336","Kusel","733609","Oberes Glantal",2700,2508,9180,366,2604.7488
"61",61,"E30254010000000000005230791001762","GE Renewable Germany GmbH","77 1,5",1500,"22.09.2004",7334020,49.081286,8.155437,100,77,733404020,76872,"Minfeld","Gemarkung Minfeld, Flurst. 1474","1500",2004-09-22,2504323,"7334","Germersheim","733404","Kandel",2425,2504,8245,329,2241.2864
"62",62,"E30254010000000000005230791001763","GE Renewable Germany GmbH","77 1,5",1500,"14.09.2004",7334020,49.081483,8.152292,100,77,733404020,76872,"Minfeld","Gemarkung Minfeld, Flurst. 1476","1500",2004-09-14,2504323,"7334","Germersheim","733404","Kandel",2425,2504,8245,329,2241.2864
"63",63,"E30254010000000000005230791001764","GE Renewable Germany GmbH","77 1,5",1500,"15.09.2004",7334020,49.079857,8.158007,100,77,733404020,76872,"Minfeld","Gemarkung Minfeld, Flurst. 1556","1500",2004-09-15,2504323,"7334","Germersheim","733404","Kandel",2425,2504,8245,329,2241.2864
"64",64,"E30254010000000000005230791006703","GE Renewable Germany GmbH","77 1,5",1500,"22.09.2004",7334020,49.082963,8.147428,100,77,733404020,76872,"Minfeld","Gemarkung Minfeld, Flurst. 1442","1500",2004-09-22,2504323,"7334","Germersheim","733404","Kandel",2425,2504,8245,329,2241.2864
"65",65,"E30254010000000000005230791008781","Vestas Deutschland GmbH","V 90",2000,"12.02.2009",7334020,49.085519,8.147192,105,90,733404020,76872,"Minfeld","Gemarkung Minfeld, Flurst. 1416","2000",2009-02-12,3610916,"7334","Germersheim","733404","Kandel",2425,3611,8245,228,1809.1136
"66",66,"E30254010000000000005230797401809","DeWind GmbH","DeWind D6/64",1250,"28.03.2003",7335003,49,7,91.5,64,734009216,66894,"Krähenberg","Gemarkung Krähenberg, Flurstk. 675","1250",2003-03-28,1252114,"7340","Südwestpfalz","734009","Thaleischweiler-Wallhalben",2475,1252,8415,672,2796.4352
"67",67,"E30254010000000000005230797401810","DeWind GmbH","DeWind D6/64",1250,"25.03.2003",7335003,49,7,91.5,64,734009216,66894,"Krähenberg","Gemarkung Krähenberg, Flurst. 683","1250",2003-03-25,1252114,"7340","Südwestpfalz","734009","Thaleischweiler-Wallhalben",2475,1252,8415,672,2796.4352
"68",68,"E30254010000000000005230797401811","DeWind GmbH","DeWind D6/64",1250,"19.03.2003",7335003,49,7,68,64,734009216,66894,"Krähenberg","Gemarkung Krähenberg, Flurst. 763/2","1250",2003-03-19,1374979,"7340","Südwestpfalz","734009","Thaleischweiler-Wallhalben",2475,1375,8415,612,2748.416
"69",69,"E30254010000000000005230797401812","DeWind GmbH","DeWind D6/64",1250,"31.03.2003",7335003,49,7,68,64,734009216,66894,"Krähenberg","Gemarkung Krähenberg, Flurst. 761","1250",2003-03-31,1374979,"7340","Südwestpfalz","734009","Thaleischweiler-Wallhalben",2475,1375,8415,612,2748.416
"70",70,"E30254010000000000005230797405750","DeWind GmbH","DeWind D6/64",1250,"31.03.2003",7335003,49,7,91.5,64,734009216,66894,"Krähenberg","Gemarkung Krähenberg, Flurst. 707","1250",2003-03-31,1374978,"7340","Südwestpfalz","734009","Thaleischweiler-Wallhalben",2475,1375,8415,612,2748.416
"71",71,"E30254010000000000005230797501801","Fuhrländer AG","FL MD77",1500,"17.01.2006",7334028,49.266912,8.355917,100,77,733405028,67365,"Schwegenheim","Gemarkung Schwegenheim, Flurst. 7023","1500",2006-01-17,1833372,"7334","Germersheim","733405","Lingenfeld",2425,1833,8245,450,2503.2448
"72",72,"E30254010000000000005230797501802","Fuhrländer AG","FL MD77",1500,"31.01.2006",7334028,49.268489,8.362973,100,77,733405028,67365,"Schwegenheim","Gemarkung Schwegenheim, Flurst. 7042","1500",2006-01-31,1833372,"7334","Germersheim","733405","Lingenfeld",2425,1833,8245,450,2503.2448
"73",73,"E30254010000000000005230797501803","Fuhrländer AG","FL MD77",1500,"23.12.2005",7334028,49.265038,8.348838,100,77,733405028,67365,"Schwegenheim","Gemarkung Schwegenheim, Flurst. 7009","1500",2005-12-23,1833372,"7334","Germersheim","733405","Lingenfeld",2425,1833,8245,450,2503.2448
"74",74,"E30254010000000000005230797601805",NA,NA,NA,NA,NA,NA,NA,NA,NA,733610052,66871,"Konken","Gemarkung Konken, Flurst. 1074","850",2002-02-01,1134210,"7336","Kusel","733610","Kusel-Altenglan",2700,1134,9180,810,3141.1584
"75",75,"E30254010000000000005230797601806",NA,NA,NA,NA,NA,NA,NA,NA,NA,733610052,66871,"Konken","Gemarkung Konken, Flurst. 1073","850",2002-02-01,1134210,"7336","Kusel","733610","Kusel-Altenglan",2700,1134,9180,810,3141.1584
