"","adress","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","strasse","leistung_s","indatum_s","menge_kwh","lk_nr","lk_name","vg_nr","vg_name","lk_volllast","Ertrag2019_MWh","ErtragRepowert","Ertragssteigerung","Emissionsminderung","lat_wgs84","lon_wgs84"
"234","Koxhausen 54673 Germany","E31238010000020170000009043119002","ENERCON GmbH","E-40 / 5.40",500,"24.03.1994",7232068,50.002901,6.252416,42,40,723205068,54673,"Koxhausen","Friedbachstr. 900Z","500","1994-03-24",641234,7232,"Eifelkreis Bitburg-Prüm",723205,"Südeifel",1875,641,6375,995,2238.5536,50.0029618909832,6.25235597384692
"235","Krähenberg 66894 Germany","E30254010000000000005230788206674",NA,NA,NA,NA,NA,NA,NA,NA,NA,734009216,66894,"Krähenberg","Gemarkung Krähenberg, Flurst. 663, Knopper Höhe","660","2001-09-06",993959,7340,"Südwestpfalz",734009,"Thaleischweiler-Wallhalben",2475,994,8415,847,2897.1584,49.3297432026119,7.46325257953989
"241","Kriegsfeld 67819 Germany","E30254010000000000005230838106691","ENERCON GmbH","E-66/18.70",1800,"21.12.2000",7333040,49.677834,7.901341,98,70,733304040,67819,"Kriegsfeld","Gemarkung Kriegsfeld, Flurst. 3919/52","1800","2000-12-21",3120769,7333,"Donnersbergkreis",733304,"Kirchheimbolanden",2475,3121,8415,270,2066.7776,49.6777338515864,7.90135138953597
"242","Kroppach 57612 Germany","E31102010000000000001274253800001","Fuhrländer AG","FUH15 G1 D250",250,"29.11.1994",7143225,50.694,7.725945,42,30,714302250,57612,"Kroppach","Flurstück( 9 )","250","1994-11-29",158788,7143,"Westerwald",714302,"Hachenburg",2350,159,7990,5025,3057.2224,50.6938188495484,7.72574970026527
"243","Kruchten 54675 Germany","E31238010000000000000042338300055",NA,NA,1250,"22.05.2002",7232069,49.899722,6.298611,NA,NA,723205069,54675,"Kruchten","Auf dem Lieh 901","1250","2002-05-22",1318773,7232,"Eifelkreis Bitburg-Prüm",723205,"Südeifel",1875,1319,6375,483,1973.8624,49.8995705052073,6.29877474606062
"244","Kundert 57629 Germany","E31102010000000000001277342500001","ENERCON GmbH","E-66",1800,"31.12.2003",7143252,50.727294,7.797876,114,70,714302252,57629,"Kundert","Außenbereich / Flurstück( 20 )","1800","2003-12-30",2409202,7143,"Westerwald",714302,"Hachenburg",2350,2409,7990,332,2178.8224,50.7272117356994,7.79781407882955
"245","Kundert 57629 Germany","E31102010000000000001277342500002","ENERCON GmbH","E-66",1800,"19.12.2003",7143252,50.727333,7.803342,114,70,714302252,57629,"Kundert","Außenbereich / Flurstück( 20 )","1800","2003-12-19",2409202,7143,"Westerwald",714302,"Hachenburg",2350,2409,7990,332,2178.8224,50.7271506918818,7.80315892931335
"246","Kyllburgweiler 54655 Germany","E31238010000000000000054956524871",NA,NA,NA,NA,NA,NA,NA,NA,NA,723208071,54655,"Kyllburgweiler","ZZ ohne postalische Zuordnung 901Z","2000","2004-03-12",2818963,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,2819,6375,226,1388.2624,50.0523914089272,6.62010918513938
"247","Kyllburgweiler 54655 Germany","E31238010000000000000054956500775",NA,NA,NA,NA,NA,NA,NA,NA,NA,723208071,54655,"Kyllburgweiler","ZZ ohne postalische Zuordnung 901Z","2000","2004-03-16",2818963,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,2819,6375,226,1388.2624,50.0521870299813,6.61992785506315
"248","Kyllburgweiler 54655 Germany","E31238010000000000000054956524869",NA,NA,NA,NA,NA,NA,NA,NA,NA,723208071,54655,"Kyllburgweiler","ZZ ohne postalische Zuordnung 901Z","2000","2004-03-28",2818963,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,2819,6375,226,1388.2624,50.0524133895583,6.6198336534165
"249","Kyllburgweiler 54655 Germany","E31238010000000000000054956524870",NA,NA,NA,NA,NA,NA,NA,NA,NA,723208071,54655,"Kyllburgweiler","ZZ ohne postalische Zuordnung 901Z","2000","2004-03-12",2818963,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,2819,6375,226,1388.2624,50.0521006238315,6.61994116632008
"250","Lampaden 54316 Germany","E31238010000010170000001432618384","Nordex SE","S70",1500,"07.02.2002",7235072,49.653695,6.682487,65,70,723508072,54316,"Lampaden","An der K 61 / 13/3","1500","2002-02-07",2249569,7235,"Trier-Saarburg",723508,"Saarburg-Kell",2675,2250,9095,404,2672.288,49.6537988525433,6.68256198028474
"252","Lampaden 54316 Germany","E31238010000010170000001432618843","Nordex SE","N62",1300,"15.07.2000",7235072,49.646353,6.68019,69,62,723508072,54316,"Lampaden","An der K 61 / 17","1300","2000-07-15",1797895,7235,"Trier-Saarburg",723508,"Saarburg-Kell",2675,1798,9095,506,2848.7488,49.6461939401712,6.68020850569919
"253","Lampaden 54316 Germany","E31238010000010170000001432618842","Nordex SE","N60",1300,"15.12.1999",7235072,49.648878,6.679142,69,60,723508072,54316,"Lampaden","An der K 61 / 14/3","1300","1999-12-16",1694940,7235,"Trier-Saarburg",723508,"Saarburg-Kell",2675,1695,9095,537,2888.96,49.6489466642488,6.6793318159327
"254","Lampaden 54316 Germany","E31238010000010170000001432618841","Nordex SE","N60",1300,"15.12.1999",7235072,49.65038,6.67598,69,60,723508072,54316,"Lampaden","An der K 61 / 62/1","1300","1999-12-16",1694940,7235,"Trier-Saarburg",723508,"Saarburg-Kell",2675,1695,9095,537,2888.96,49.6504242868032,6.67597748231396
"255","Langenbach bei Kirburg 57520 Germany","E31102010000000000001274407700001","ENERCON GmbH","E-40/5.40",500,"25.02.1997",7143253,50.707,7.947,65,40.3,714301253,57520,"Langenbach bei Kirburg","Flurstück (29 / 1)","500","1997-02-25",725955,7143,"Westerwald",714301,"Bad Marienberg",2350,726,7990,1101,2835.8656,50.7070709869287,7.94718974239668
"256","Langenbach bei Kirburg 57520 Germany","E31102010000000000001274402600001","AN-Maschinenbau- und Umweltschutzanlagen GmbH","150/30 - 50Hz",150,"26.04.1991",7143253,50.704533,7.944676,30,23,714301253,57520,"Langenbach bei Kirburg","Hinter dem Buchenstrauche, WEA I","150","1991-04-26",148635,7143,"Westerwald",714301,"Bad Marienberg",2350,149,7990,5362,3061.1264,50.7046948165207,7.94467111002777
"257","Langenbach bei Kirburg 57520 Germany","E31102010000000000001274406900001","AN-Maschinenbau- und Umweltschutzanlagen GmbH","AN Bonus 600/41",600,"06.04.1995",7143253,50.708,7.9456,50,41,714301253,57520,"Langenbach bei Kirburg","Bei dem Bäumchen","600","1995-04-06",592103,7143,"Westerwald",714301,"Bad Marienberg",2350,592,7990,1350,2888.1792,50.7080596246542,7.94549694832927
"258","Langenbach bei Kirburg 57520 Germany","E31102010000000000001274409300001","Fuhrländer AG","Fuhrländer FL250",250,"26.10.1998",7143253,50.270108,7.97512,41.5,NA,714301253,57520,"Langenbach bei Kirburg","Flurstück (29/1)","250","1998-10-26",213145,7143,"Westerwald",714301,"Bad Marienberg",2350,213,7990,3751,3036.1408,50.2699778287116,7.97513573211271
"259","Langenbach bei Kirburg 57520 Germany","E31102010000000000001274404200001","ENERCON GmbH","E-40/5.40",500,"24.09.1997",7143253,50.705,7.9496,65,40.3,714301253,57520,"Langenbach bei Kirburg","Flurstück (29/1)","500","1997-09-24",740398,7143,"Westerwald",714301,"Bad Marienberg",2350,740,7990,1080,2830.4,50.7051957926365,7.94971532027945
"260","Lauperath 54649 Germany","E31238010000000000000042679611481","ENERCON GmbH","E-40/6.44 E2",600,"05.06.2002",7232258,50.077478,6.330202,44,43.7,723201258,54649,"Lauperath","An der L 9 / 91/2","600","2002-06-06",902709,7232,"Eifelkreis Bitburg-Prüm",723201,"Arzfeld",1875,903,6375,706,2136.2688,50.077284466729,6.33039434672794
"261","Lauschied 55568 Germany","E31238010000000000000004660800067","Vestas Deutschland GmbH","V80 - 2,0 MW",2000,"24.12.2002",7133057,49.730308,7.598812,60,80,713310057,55568,"Lauschied","WEA Lauschied 2 / 90/1","2000","2002-12-24",2041007,7133,"Bad Kreuznach",713310,"Nahe Glan",2600,2041,8840,433,2654.3296,49.7301537659238,7.59894866599542
"262","Lauschied 55568 Germany","E31238010000000000000044433301513","Vestas Deutschland GmbH","V52",850,"04.09.2002",7133057,49.727633,7.587917,74,52,713310057,55568,"Lauschied","Windpark 900Z","850","2002-09-04",852820,7133,"Bad Kreuznach",713310,"Nahe Glan",2600,853,8840,1036,3118.1248,49.7276381461713,7.58800663390272
"263","Lauschied 55568 Germany","E31238010000000000000044433322370","Vestas Deutschland GmbH","V52",850,"09.09.2002",7133057,49.72927,7.600934,74,52,713310057,55568,"Lauschied","Windpark 900Z","850","2002-09-09",852820,7133,"Bad Kreuznach",713310,"Nahe Glan",2600,853,8840,1036,3118.1248,49.7290822884439,7.60095189378822
"264","Lauschied 55568 Germany","E31238010000000000000044433322371","Vestas Deutschland GmbH","V52",850,"04.09.2002",7133057,49.729509,7.593556,74,52,713310057,55568,"Lauschied","Windpark 900Z","850","2002-09-04",852820,7133,"Bad Kreuznach",713310,"Nahe Glan",2600,853,8840,1036,3118.1248,49.7294927600651,7.59357979333172
"265","Leimbach 54673 Germany","E31238010000020170000009048200040","ENERCON GmbH","E-40 / 5.40",500,"03.10.1994",7232005,50.020101,6.251906,50,40,723205073,54673,"Leimbach","Weidendell 900Z / 69/1","500","1994-10-04",629116,7232,"Eifelkreis Bitburg-Prüm",723205,"Südeifel",1875,629,6375,1014,2243.2384,50.0200546285251,6.25203012873693
"266","Leimbach 54673 Germany","E31238010000020170000009048219013","ENERCON GmbH","E-40 / 5.40",500,"03.10.1994",7232005,50.021,6.255776,50,40,723205073,54673,"Leimbach","Weidendell 900Z / 70","500","1994-10-04",629116,7232,"Eifelkreis Bitburg-Prüm",723205,"Südeifel",1875,629,6375,1014,2243.2384,50.0208631452017,6.25568220735409
"267","Leitzweiler 55779 Germany","E31280100000000000000000216600031",NA,NA,NA,NA,NA,NA,NA,NA,NA,713401051,55779,"Leitzweiler","Haupstr. 900Z","1500","2003-07-08",2460840,7134,"Birkenfeld",713401,"Baumholder",1850,2461,6290,256,1494.8416,49.5914244648012,7.22393685364686
"268","Lichtenborn 54619 Germany","E31238010000000000000047990301233","Fuhrländer AG","FL MD 77",1500,"28.12.2003",7232201,50.112961,6.304454,100,77,723201260,54619,"Lichtenborn","Dreis 900Z / 229/173","1500","2003-12-28",2589450,7232,"Eifelkreis Bitburg-Prüm",723201,"Arzfeld",1875,2589,6375,246,1478.0544,50.1129279255904,6.30444500363459
"269","Lichtenborn 54619 Germany","E31238010000000000000047990201327","ENERCON GmbH","E-66/18.70-2",1800,"19.03.2003",7232201,50.101575,6.296611,86,70,723201260,54619,"Lichtenborn","Dreis 900Z / 143/35","1800","2003-03-19",2607508,7232,"Eifelkreis Bitburg-Prüm",723201,"Arzfeld",1875,2608,6375,244,1470.6368,50.1015450525056,6.2964529752229
"270","Lirstal 56767 Germany","E31238010000070120000000018809145",NA,NA,NA,NA,NA,NA,NA,NA,NA,723304224,56767,"Lirstal","Kapericher Str. 988","1500","2001-02-15",1635177,7233,"Vulkaneifel",723304,"Kelberg",2825,1635,9605,587,3111.488,50.2565030714114,7.03617645601951
"271","Lirstal 56767 Germany","E31238010000030212000002108801238","Fuhrländer AG","FL 1000",1000,"01.12.2000",7233215,50.239314,7.046343,82,54,723304224,56767,"Lirstal","Kapericher Str. 989 / 18/7","1000","2000-09-01",1121004,7233,"Vulkaneifel",723304,"Kelberg",2825,1121,9605,857,3312.1536,50.2394776550431,7.04645760193852
"272","Lirstal 56767 Germany","E31238010000030212000002108818056","Fuhrländer AG","FL 1000",1000,"01.12.2000",7233215,50.239794,7.044793,82,54,723304224,56767,"Lirstal","Kapericher Str. 989 / 18/7","1000","2000-09-01",1121018,7233,"Vulkaneifel",723304,"Kelberg",2825,1121,9605,857,3312.1536,50.23981534784,7.04482226693736
"273","Mainz 55129 Germany","E31060010000000072280991000100385",NA,NA,NA,NA,NA,NA,NA,NA,NA,731500000,55129,"Mainz","Ebersheim Süd (3)","600","2001-03-22",993910,7315,"Mainz",731500,"Mainz",2300,994,7820,787,2664.8704,50.0011350184221,8.27609124058948
"274","Mainz 55129 Germany","E31060010000000072131001000100095",NA,NA,NA,NA,NA,NA,NA,NA,NA,731500000,55129,"Mainz","Töngesstraße 100a","600","2000-03-03",712897,7315,"Mainz",731500,"Mainz",2300,713,7820,1097,2774.5728,50.0011345094779,8.27643063137966
"275","Mainz 55129 Germany","E31060010000000072280991000100384",NA,NA,NA,NA,NA,NA,NA,NA,NA,731500000,55129,"Mainz","Ebersheim Süd (2)","600","2000-07-11",993910,7315,"Mainz",731500,"Mainz",2300,994,7820,787,2664.8704,50.0010760415345,8.27613917365602
"276","Mainz 55129 Germany","E31060010000000072280991000100070",NA,NA,NA,NA,NA,NA,NA,NA,NA,731500000,55129,"Mainz","Ebersheim Süd (1)","600","2000-07-11",993910,7315,"Mainz",731500,"Mainz",2300,994,7820,787,2664.8704,50.0013785104267,8.27624750549902
"277","Manderscheid 54649 Germany","E31238010000000000000047820311488",NA,NA,NA,NA,NA,NA,NA,NA,NA,723201264,54649,"Manderscheid","Manderscheiderhof 900Z","1800","2003-03-10",2399278,7232,"Eifelkreis Bitburg-Prüm",723201,"Arzfeld",1875,2399,6375,266,1552.2304,50.1003746000739,6.34624690268451
"278","Martinshöhe 66894 Germany","E30254010000000000005230823306682",NA,NA,NA,NA,NA,NA,NA,NA,NA,733501203,66894,"Martinshöhe","Gemarkung Martinshöhe, Flurst. 720","1000","2000-12-28",1169164,7335,"Kaiserslautern",733501,"Bruchmühlbach-Miesau",2375,1169,8075,691,2696.1024,49.3640659740422,7.47894427943591
"279","Meisenheim 55590 Germany","E31238010000020120000002354110152","GE Wind Energy GmbH","1.5 sl",1500,"08.11.2001",7333078,49.722543,7.734702,100,77,713310065,55590,"Meisenheim","Station an der UA 900Z","1500","2001-11-08",1342094,7133,"Bad Kreuznach",713310,"Nahe Glan",2600,1342,8840,659,2927.2192,49.7225855266605,7.73486374780661
"280","Meisenheim 55590 Germany","E31238010000020120000002354110153","Vestas Deutschland GmbH","V-80",2000,"15.01.2002",7333078,49.723121,7.732454,100,80,713310065,55590,"Meisenheim","Station an der UA 900Z / 2","2000","2002-01-15",1686130,7133,"Bad Kreuznach",713310,"Nahe Glan",2600,1686,8840,524,2792.9216,49.7231030891222,7.73262714612074
"281","Mettweiler 55777 Germany","E31280100000000340000006639401325","ENERCON GmbH","Enercon 66",1500,"12.10.2000",7134054,49.586467,7.331331,67,66,713401054,55777,"Mettweiler","Windpark Mettweiler 3","1500","2000-10-12",2045664,7134,"Birkenfeld",713401,"Baumholder",1850,2046,6290,307,1656.8576,49.5865206979096,7.33131368665224
"282","Mettweiler 55777 Germany","E31280100000000340000006639401420","ENERCON GmbH","E-58/10.58",1000,"06.05.2003",7134054,49.58585,7.326792,70.5,58.6,713401054,55777,"Mettweiler","Windpark Mettweiler 3","1000","2003-05-07",1698278,7134,"Birkenfeld",713401,"Baumholder",1850,1698,6290,370,1792.7168,49.5859138145707,7.32663690594035
"283","Mettweiler 55777 Germany","E31280100000000340000006639401421","ENERCON GmbH","E-40/6.44",600,"06.05.2003",7134054,49.58785,7.330864,77.7,44,713401054,55777,"Mettweiler","Windpark Mettweiler 3","600","2003-05-06",960733,7134,"Birkenfeld",713401,"Baumholder",1850,961,6290,655,2080.4416,49.5878462965635,7.33070534749351
"284","Mettweiler 55777 Germany","E31280100000000340000006640022339","ENERCON GmbH","Enercon 40",500,"01.12.1996",7134054,49.587714,7.323148,NA,40.3,713401054,55777,"Mettweiler","Windpark Mettweiler 1","500","1996-12-01",796658,7134,"Birkenfeld",713401,"Baumholder",1850,797,6290,789,2144.4672,49.5875395659648,7.32305315795452
"285","Minfeld 76872 Germany","E30254010000000000005230791001764","GE Renewable Germany GmbH","77 1,5",1500,"15.09.2004",7334020,49.079857,8.158007,100,77,733404020,76872,"Minfeld","Gemarkung Minfeld, Flurst. 1556","1500","2004-09-15",2504323,7334,"Germersheim",733404,"Kandel",2425,2504,8245,329,2241.2864,49.080033640794,8.15788023687337
"286","Minfeld 76872 Germany","E30254010000000000005230791006703","GE Renewable Germany GmbH","77 1,5",1500,"22.09.2004",7334020,49.082963,8.147428,100,77,733404020,76872,"Minfeld","Gemarkung Minfeld, Flurst. 1442","1500","2004-09-22",2504323,7334,"Germersheim",733404,"Kandel",2425,2504,8245,329,2241.2864,49.0828024111457,8.14760556581996
"287","Minfeld 76872 Germany","E30254010000000000005230791001762","GE Renewable Germany GmbH","77 1,5",1500,"22.09.2004",7334020,49.081286,8.155437,100,77,733404020,76872,"Minfeld","Gemarkung Minfeld, Flurst. 1474","1500","2004-09-22",2504323,7334,"Germersheim",733404,"Kandel",2425,2504,8245,329,2241.2864,49.0812991336164,8.15529070856607
"288","Minfeld 76872 Germany","E30254010000000000005230791001763","GE Renewable Germany GmbH","77 1,5",1500,"14.09.2004",7334020,49.081483,8.152292,100,77,733404020,76872,"Minfeld","Gemarkung Minfeld, Flurst. 1476","1500","2004-09-14",2504323,7334,"Germersheim",733404,"Kandel",2425,2504,8245,329,2241.2864,49.0816625362264,8.15242545706239
"289","Morbach 54497 Germany","E31238010000000000000045704818820","Vestas Deutschland GmbH","V80",2000,"12.02.2003",7231502,49.834014,7.112609,100,80,723100502,54497,"Morbach","Energielandschaft 902Z / 18/1","2000","2003-02-12",1014974,7231,"Bernkastel-Wittlich",723100,"vfr Bernkastel-Wittlich",2550,1015,8670,854,2988.512,49.834088943828,7.11280734897825
"290","Morbach 54497 Germany","E31238010000000000000045704801368",NA,NA,NA,NA,NA,NA,NA,NA,NA,723100502,54497,"Morbach","Energielandschaft 902Z / 51/7","2000","2002-11-13",1620882,7231,"Bernkastel-Wittlich",723100,"vfr Bernkastel-Wittlich",2550,1621,8670,535,2751.9296,49.8101826524293,7.12434756724029
"291","Morbach 54497 Germany","E31238010000000000000045704800037","Vestas Deutschland GmbH","V-80",2000,"07.11.2002",7231502,49.827275,7.104657,100,80,723100502,54497,"Morbach","Energielandschaft 902Z / 51/7","2000","2002-11-07",1620882,7231,"Bernkastel-Wittlich",723100,"vfr Bernkastel-Wittlich",2550,1621,8670,535,2751.9296,49.8270970406349,7.1045870974261
"292","Morbach 54497 Germany","E31238010000000000000045704818818","Vestas Deutschland GmbH","V-80",2000,"08.11.2002",7231502,49.829769,7.115514,100,80,723100502,54497,"Morbach","Energielandschaft 902Z / 18/1","2000","2002-11-08",457126,7231,"Bernkastel-Wittlich",723100,"vfr Bernkastel-Wittlich",2550,457,8670,1897,3206.3552,49.8297482594388,7.11562130298692
"293","Morbach 54497 Germany","E31238010000000000000045704818821","Vestas Deutschland GmbH","V80",2000,"11.11.2002",7231502,49.832603,7.115273,100,80,723100502,54497,"Morbach","Energielandschaft 902Z / 18/1","2000","2002-11-10",1080891,7231,"Bernkastel-Wittlich",723100,"vfr Bernkastel-Wittlich",2550,1081,8670,802,2962.7456,49.8325140929478,7.11533491559564
"294","Morbach 54497 Germany","E31238010000000000000045704818823","Vestas Deutschland GmbH","V-80",2000,"14.03.2003",7231502,49.835399,7.11998,100,80,723100502,54497,"Morbach","Energielandschaft 902Z / 8/2","2000","2003-03-14",1642095,7231,"Bernkastel-Wittlich",723100,"vfr Bernkastel-Wittlich",2550,1642,8670,528,2743.7312,49.8355173992928,7.11983585837085
"295","Mückeln 54558 Germany","E31238010000000000000057584501030",NA,NA,NA,NA,NA,NA,NA,NA,NA,723301046,54558,"Mückeln","An der K 25 / 15","1000","2004-09-09",1659281,7233,"Vulkaneifel",723301,"Daun",2825,1659,9605,579,3102.1184,50.0864748670843,6.92256123324687
"296","Neichen 54552 Germany","E31238010000000000000050236418040","Vestas Deutschland GmbH","V80",2000,"07.08.2003",7233003,50.264332,6.901234,100,80,723304048,54552,"Neichen","Hauptstr. 0 / 19","2000","2003-08-07",2889320,7233,"Vulkaneifel",723304,"Kelberg",2825,2889,9605,332,2621.9264,50.2641999134693,6.90119665061675
"297","Neuerburg 54673 Germany","E31238010000020170000009179919016","ENERCON GmbH","E-40 / 5.40",500,"23.05.1995",7232005,50.004402,6.272594,65,40,723205088,54673,"Neuerburg","Hirdensbach 900Z / 167","500","1995-05-23",722271,7232,"Eifelkreis Bitburg-Prüm",723205,"Südeifel",1875,722,6375,883,2206.9312,50.0043666265228,6.27277537756223
"298","Neuerburg 54673 Germany","E31238010000020170000009179919018","ENERCON GmbH","E-40 / 5.40",500,"31.05.1995",7232005,50.001301,6.279634,65,40,723205088,54673,"Neuerburg","Hirdensbach 900Z / 271/12","500","1995-05-31",722271,7232,"Eifelkreis Bitburg-Prüm",723205,"Südeifel",1875,722,6375,883,2206.9312,50.0011807664969,6.27960496788865
"299","Neuerburg 54673 Germany","E31238010000020170000009179900042","ENERCON GmbH","E-40 / 5.40",500,"31.05.1995",7232005,50.004096,6.279874,65,40,723205088,54673,"Neuerburg","Hirdensbach 900Z / 192/168","500","1995-05-31",722271,7232,"Eifelkreis Bitburg-Prüm",723205,"Südeifel",1875,722,6375,883,2206.9312,50.0041662898296,6.27980723440235
"300","Neuerburg 54673 Germany","E31238010000020170000009179919015","ENERCON GmbH","E-40 / 5.40",500,"18.05.1995",7232005,50.004097,6.279846,65,40,723205088,54673,"Neuerburg","Hirdensbach 900Z / 348/166 + 378/166","500","1995-05-18",722271,7232,"Eifelkreis Bitburg-Prüm",723205,"Südeifel",1875,722,6375,883,2206.9312,50.0041348210124,6.2798107173685
"301","Nieder-Olm 55268 Germany","E32954010200000000003621301811210","ENERCON GmbH","E-40/6.44",600,"25.07.2000",7339017,49.915677,8.22528,65,44,733906042,55268,"Nieder-Olm","Flur 22","600","2000-07-31",980087,7339,"Mainz-Bingen",733906,"Nieder-Olm",2300,980,7820,798,2670.336,49.9155261936346,8.22545189527303
"302","Niederkirchen 67700 Germany","E30254010000000000005230789401736","ENERCON GmbH","E-66/20.70",2000,"24.03.2005",7332009,49.584024,7.731049,98,70,733510029,67700,"Niederkirchen","Gemarkung Niederkirchen-Heimkirchen, Flurst. 721","2000","2004-11-30",2554238,7335,"Kaiserslautern",733510,"Otterbach-Otterberg",2375,2554,8075,316,2155.3984,49.5842100710041,7.73090896931605
"303","Niederkirchen 67700 Germany","E30254010000000000005230787721589","ENERCON GmbH","E-40/5.40",500,"22.11.2000",7335029,49.55759,7.721143,63,40,733510029,67700,"Niederkirchen","Gemarkung Niederkrichen, Flurst. 317/3, Holbornerh","500","2000-11-23",898278,7335,"Kaiserslautern",733510,"Otterbach-Otterberg",2375,898,8075,899,2801.9008,49.5577899329368,7.72125202776523
"304","Niederkirchen 67700 Germany","E30254010000000000005230789401734","ENERCON GmbH","E-66/20.70",2000,"03.12.2004",7332009,49.577773,7.729247,98,70,733510029,67700,"Niederkirchen","Gemarkung Niederkirchen, Flurst. 749","2000","2005-03-24",2554238,7335,"Kaiserslautern",733510,"Otterbach-Otterberg",2375,2554,8075,316,2155.3984,49.5779619921775,7.72938874059061
"305","Niederkirchen 67700 Germany","E30254010000000000005230789401735","ENERCON GmbH","E 66/20.70",2000,"30.11.2004",7332009,49.576873,7.731607,98,77,733510029,67700,"Niederkirchen","Gemarkung Niederkirchen-Heimkirchen, Flurst. 749","2000","2005-03-24",2554238,7335,"Kaiserslautern",733510,"Otterbach-Otterberg",2375,2554,8075,316,2155.3984,49.5768147763561,7.73166194794594
"306","Niederkirchen 67700 Germany","E30254010000000000005230789401737","ENERCON GmbH","E-66/20.70",2000,"24.03.2005",7332009,49.585967,7.731109,98,70,733510029,67700,"Niederkirchen","Gemarkung Niederkirchen-Heimkirchen, Flurst. 3791","2000","2004-12-02",2554238,7335,"Kaiserslautern",733510,"Otterbach-Otterberg",2375,2554,8075,316,2155.3984,49.5858344377762,7.73099932894596
"307","Nisterau 56472 Germany","E31102010000000000001274450600001",NA,NA,NA,NA,NA,NA,NA,NA,NA,714301277,56472,"Nisterau","Auf der Pfuhler Höhe / Flurstück( 27 )","500","1997-02-28",749118,7143,"Westerwald",714301,"Bad Marienberg",2350,749,7990,1067,2826.8864,50.6581841156483,7.98772280131018
"308","Norath 56291 Germany","E31238010000000000000036447701507","Nordex Energy GmbH","S70",1500,"19.06.2001",7140084,50.132128,7.590078,65,70,714009110,56291,"Norath","Hungenrother Höhe 900","1500","2001-06-19",1944445,7140,"Rhein-Hundsrück",714009,"Hundsrück-Mittelrhein",2450,1944,8330,428,2493.0944,50.1323023634885,7.59001289837227
"309","Norath 56291 Germany","E31238010000000000000036802801443","Südwind Borsig Energy GmbH","Südwind S70",1500,"19.06.2001",7140084,50.1327,7.5915,65,70,714009110,56291,"Norath","Hungenrother Höhe 900Z","1500","2001-06-19",1560385,7140,"Rhein-Hundsrück",714009,"Hundsrück-Mittelrhein",2450,1560,8330,534,2643.008,50.1326548615819,7.59160856336858
"310","Norath 56291 Germany","E31238010000000000000036444501321","Südwind Borsig Energy GmbH","70026",1500,"20.06.2001",7140084,50.130569,7.587522,60,70,714009110,56291,"Norath","Hungenrother Höhe 900Z / 7","1500","2001-06-20",1672424,7140,"Rhein-Hundsrück",714009,"Hundsrück-Mittelrhein",2450,1672,8330,498,2599.2832,50.1303874610399,7.58766144780715
"311","Norken 57629 Germany","E31102010000000000001274399200001",NA,NA,NA,NA,NA,NA,NA,NA,NA,714301280,57629,"Norken","Flurstück( 1428 )","100","1993-11-25",71850,7143,"Westerwald",714301,"Bad Marienberg",2350,72,7990,11097,3091.1872,50.6702523675866,7.88829879005232
"312","Nußbach 67759 Germany","E30254010000000000005230888706707","ENERCON GmbH","E-66/18.70-3",1800,"11.12.2003",7336069,49.6523,7.7038,98,70,733608069,67759,"Nußbach","Gemarkung Nussbach, Flurstück 1389, 1389/2","1600","2003-12-12",3219360,7336,"Kusel",733608,"Lauterecken-Wolfstein",2700,3219,9180,285,2327.1744,49.6523753823847,7.70364600163521
"313","Nußbach 67759 Germany","E30254010000000000005230876501820","ENERCON GmbH","E-40/6.44 E2",600,"07.05.2002",7336069,49.6504,7.6976,65,44,733608069,67759,"Nußbach","Gemarkung Nussbach, Flurst. 2114","600","2002-05-07",1022546,7336,"Kusel",733608,"Lauterecken-Wolfstein",2700,1023,9180,897,3184.4928,49.6503417499877,7.69756101540914
"314","Ober-Flörsheim 55234 Germany","E32954010200000000003621700111220","GE Wind Energy GmbH","GE-70-1,5",1500,"16.12.2002",7331024,49.679338,8.119907,65,70.5,733101052,55234,"Ober-Flörsheim","Flur 16 u. Flur 17 u. Flur 18","12000","2002-12-10",16210927,7331,"Alzey-Worms",733101,"Alzey-Land",2150,16211,7310,45,-3474.9504,49.6793564295625,8.11974378931184
"315","Ober-Flörsheim 55234 Germany","E32954010200000000003621700111221","ENERCON GmbH","E-66",1800,"21.04.2004",7331024,49.689498,8.106987,60,70,733101052,55234,"Ober-Flörsheim","Flur 1","1800","2004-04-08",2537681,7331,"Alzey-Worms",733101,"Alzey-Land",2150,2538,7310,288,1862.9888,49.6895069764064,8.10693511490839
"316","Oberarnbach 66851 Germany","E30254010000000000005230787306704",NA,NA,NA,NA,NA,NA,NA,NA,NA,733511031,66851,"Oberarnbach","Gemarkung Oberarnbach, Flurst. 1676","1000","2000-05-29",1690811,7335,"Kaiserslautern",733511,"Landstuhl",2375,1691,8075,478,2492.3136,49.385131784883,7.58763901866236
